0	0
1	0
1	3
2	0
3	0
3	4
4	0
4	4
5	0
5	4
6	0
7	0
8	0
8	2
9	1
10	5
11	5
12	5
12	6
13	5
14	7
14	8
15	9
16	9
17	9
18	10
19	10
20	11
21	12
22	12
23	11
23	13
24	13
24	14
25	13
25	14
26	15
27	15
28	16
28	17
29	16
29	17
30	16
30	17
31	17
32	18
33	19
34	20
35	19
36	21
37	22
38	18
39	19
40	18
40	23
41	24
42	25
42	26
43	25
44	25
45	25
46	23
47	27
48	28
49	23
50	29
51	29
51	30
52	23
52	30
53	31
53	32
54	31
55	31
56	31
57	33
57	34
58	34
59	32
60	32
61	34
62	35
63	31
64	31
64	36
65	31
66	31
67	31
67	34
68	31
68	35
69	35
69	37
70	31
70	38
71	31
71	34
72	39
73	39
74	39
75	39
76	40
77	40
78	41
78	42
79	41
79	42
80	40
81	43
82	43
83	43
84	40
84	44
85	44
86	40
86	44
87	40
87	44
88	43
88	45
89	45
90	40
90	44
91	40
91	44
92	46
93	39
94	39
95	43
95	46
96	47
96	48
97	48
98	49
99	48
100	51
101	52
102	53
103	51
104	54
105	55
106	56
107	62
107	18
108	57
109	0
110	0
111	13
112	23
112	58
113	58
114	23
114	59
115	27
116	61
117	63
118	34
119	34
120 	35
121 	64
122 	23
122 	60
123 	43
124 	46
125 	65
125 	66
126 	43
127 	52
128 	51
129 	67
129 	50
130 	67
131 	68
131 	69
132 	2
133 	71
133 	72
134 	71
135 	70
136 	73
